Time (min);Intensity (cps)
2,6906;145000000
2,6982;152000000
2,7058;202000000
2,7134;310000000
2,721;263000000
2,7286;214000000
2,7362;183000000
2,7438;177000000
2,7514;372000000
2,7591;431000000
2,7667;340000000
2,7743;306000000
2,7819;328000000
2,7895;328000000
2,7971;428000000
2,8047;390000000
2,8123;299000000
2,8199;319000000
2,8275;271000000
2,835;148000000
2,8425;113000000
2,8501;126000000
2,8576;68100000
2,8651;38800000
2,8726;34300000
2,8801;28400000
2,8877;28700000
2,8951;24700000
2,9026;21200000
2,9101;14100000
2,9176;11700000
2,9251;11300000
2,9326;10200000
2,9402;10700000
2,9477;10200000
2,9552;6960000
2,9628;9780000
2,9703;7230000
2,9779;6540000
2,9854;9520000
2,993;8650000
3,0006;9570000
3,0081;9780000
3,0157;9360000
3,0233;8810000
3,0309;10900000
3,0384;13900000
3,046;11600000
3,0535;13100000
3,0612;16200000
3,0687;11800000
3,0762;10100000
3,0838;14300000
3,0913;10200000
3,0989;11300000
3,1064;15200000
3,114;10400000
3,1215;12900000
3,1291;18300000
3,1367;13800000
3,1442;15700000
3,1518;19700000
3,1594;15900000
3,1669;15800000
3,1745;24500000
3,1821;17900000
3,1896;15100000
3,1972;16600000
3,2048;13100000
3,2123;10500000
3,2199;11200000
3,2275;15500000
3,2351;12500000
3,2426;11100000
3,2503;15100000
3,2578;13200000
3,2654;10200000
3,2729;14900000
3,2805;12900000
3,288;13300000
3,2956;10100000
3,3031;13700000
3,3107;11000000
3,3182;9870000
3,3257;9620000
3,3332;9210000
3,3407;7800000
3,3482;8860000
3,3557;9660000
3,3632;10800000
3,3707;17300000
3,3782;24200000
3,3857;26300000
3,3932;42800000
3,4007;53000000
3,4082;110000000
3,4157;88600000
3,4232;97300000
3,4307;59300000
3,4382;79500000
3,4457;72700000
3,4533;95700000
3,4608;209000000
3,4683;244000000
3,4759;399000000
3,4835;266000000
3,491;171000000
3,4985;121000000
3,506;63800000
3,5136;70000000
3,5211;49700000
3,5286;60900000
3,5361;39000000
3,5436;47000000
3,5511;42800000
3,5586;59100000
3,5661;50500000
3,5736;59100000
3,5811;49600000
3,5886;67000000
3,5961;45000000
3,6036;50100000
3,6111;32600000
3,6186;39300000
3,6261;28300000
3,6336;35200000
3,6411;26200000
3,6486;63800000
3,6562;87200000
3,6637;198000000
3,6713;261000000
3,6789;167000000
3,6864;90900000
3,6939;72200000
3,7014;28800000
3,709;36100000
3,7165;15300000
3,724;18400000
3,7316;13300000
3,7391;12800000
3,7467;13100000
3,7543;8740000
3,7619;8110000
3,7695;8970000
3,7771;7600000
3,7846;7000000
3,7922;6950000
3,7998;7770000
3,8074;9710000
3,815;7720000
3,8225;8330000
3,8301;12700000
3,8377;13100000
3,8451;15500000
3,8527;20900000
3,8602;23900000
3,8677;46000000
3,8752;54600000
3,8827;99300000
3,8902;115000000
3,8978;174000000
3,9054;307000000
3,9131;384000000
3,9207;408000000
3,9283;403000000
3,936;493000000
3,9436;630000000
3,9513;638000000
3,9588;604000000
3,9664;769000000
3,9742;1030000000
3,9818;954000000
3,9895;822000000
3,9971;653000000
4,0047;431000000
4,0123;532000000
4,0199;477000000
4,0274;212000000
4,0349;62400000
4,0424;38700000
4,0499;32800000
4,0575;55600000
4,065;37800000
4,0725;42600000
4,0801;48800000
4,0876;32800000
4,0952;38500000
4,1027;19800000
4,1103;19500000
4,1178;17800000
4,1253;11000000
4,1329;11600000
4,1404;12400000
4,1479;12500000
4,1554;16700000
4,1629;17600000
4,1704;22800000
4,178;20000000
4,1854;44100000
4,1929;45900000
4,2004;74000000
4,2079;70000000
4,2155;88400000
4,223;70200000
4,2305;97600000
4,238;81800000
4,2455;111000000
4,253;80700000
4,2605;129000000
4,268;103000000
4,2755;118000000
4,2831;81100000
4,2906;109000000
4,2981;76900000
4,3056;105000000
4,3131;76000000
4,3206;71700000
4,3281;51700000
4,3356;56200000
4,3431;49400000
4,3506;61300000
4,3582;49500000
4,3657;32800000
4,3732;31000000
4,3808;20800000
4,3883;18400000
4,3959;20100000
4,4035;13200000
4,411;16300000
4,4186;17500000
4,4261;15800000
4,4337;21200000
4,4412;22500000
4,4487;27000000
4,4562;34700000
4,4637;37200000
4,4712;41200000
4,4787;40500000
4,4862;49800000
4,4937;46900000
4,5012;50200000
4,5087;47200000
4,5161;41400000
4,5236;53200000
4,5311;41300000
4,5386;45200000
4,5461;36900000
4,5536;32000000
4,5612;21000000
4,5687;23500000
4,5763;22000000
4,5839;21700000
4,5914;30400000
4,599;45600000
4,6065;39700000
4,614;46900000
4,6215;37600000
4,629;40600000
4,6365;31600000
4,644;29000000
4,6515;22200000
4,6589;19600000
4,6665;16900000
4,674;13300000
4,6815;11800000
4,689;12400000
4,6965;11200000
4,704;15100000
4,7115;16500000
4,719;21000000
4,7265;18800000
4,7339;28000000
4,7414;25800000
4,7489;28500000
4,7564;18200000
4,7639;12300000
4,7714;14000000
4,7789;14900000
4,7865;13200000
4,794;17700000
4,8015;18400000
4,809;18400000
4,8165;16800000
4,824;16900000
4,8315;14600000
4,839;14300000
4,8466;9910000
4,8542;7360000
4,8618;8190000
4,8694;7200000
4,8771;6940000
4,8847;7600000
4,8924;8920000
4,9;10700000
4,9076;10900000
4,9152;12800000
4,9228;16100000
4,9304;15800000
4,938;13400000
4,9456;12400000
4,9532;11900000
4,9609;9860000
4,9686;7940000
4,9762;7380000
4,9839;6450000
4,9917;5950000
4,9994;4720000
5,0071;4760000
5,0148;4480000
5,0225;4740000
5,0301;4440000
5,0378;5060000
5,0454;6040000
5,0529;6800000
5,0605;8000000
5,0681;9290000
5,0757;9810000
5,0832;10300000
5,0908;13300000
5,0983;14200000
5,1058;17200000
5,1133;13200000
5,1208;19300000
5,1283;14100000
5,1358;12700000
5,1433;12100000
5,1508;9950000
5,1584;9720000
5,1659;6420000
5,1735;7330000
5,1811;6240000
5,1887;5430000
5,1963;5190000
5,204;5750000
5,2116;5940000
5,2193;6690000
5,227;6230000
5,2347;5660000
5,2423;7140000
5,2499;9980000
5,2576;9770000
5,2651;9260000
5,2728;11100000
5,2804;9720000
5,288;11000000
5,2956;8500000
5,3031;9620000
5,3107;7740000
5,3183;7350000
5,326;7690000
5,3336;6920000
5,3412;7210000
5,3488;5530000
5,3564;5030000
5,3641;5620000
5,3717;4060000
5,3793;4350000
5,387;4960000
5,3946;5910000
5,4022;6210000
5,4098;4760000
5,4174;5030000
5,425;6060000
5,4326;6900000
5,4401;6800000
5,4476;7290000
5,4552;8160000
5,4627;7210000
5,4702;7050000
5,4778;8480000
5,4853;8080000
5,4929;8010000
5,5004;6480000
5,508;5940000
5,5156;6180000
5,5232;6210000
5,5309;4560000
5,5385;3540000
5,5462;4030000
5,5539;3210000
5,5616;3750000
5,5693;3220000
5,5771;3610000
5,5849;3380000
5,5926;2840000
5,6003;3110000
5,6081;3380000
5,6159;3310000
5,6236;2880000
5,6313;3630000
5,639;3860000
5,6466;4390000
5,6543;4390000
5,662;4780000
5,6697;4950000
5,6774;5550000
5,685;4450000
5,6927;4770000
5,7004;4230000
5,7081;4030000
5,7158;4250000
5,7234;4470000
5,7311;3970000
5,7387;2870000
5,7464;3990000
5,7541;2970000
5,7617;3580000
5,7694;3530000
5,7771;3640000
5,7847;3370000
5,7924;3090000
5,8;13600000
5,8075;26100000
5,815;20400000
5,8225;24300000
5,8299;15300000
5,8374;13500000
5,8449;8700000
5,8525;6530000
5,86;4910000
5,8676;5950000
5,8752;4800000
5,8827;5190000
5,8903;4860000
5,8978;6520000
5,9054;5460000
5,9129;6960000
5,9205;5960000
5,928;6030000
5,9356;5750000
5,9432;5790000
5,9508;5400000
5,9584;4530000
5,9659;3720000
5,9736;4080000
5,9812;3960000
5,9888;2910000
5,9964;3350000
;
;
;
